activationTime,firstBillNumber,lastBillNumber,taxableBase,totalWithDiscount,discountsTotal,total,tip,tax 10%,tax 21%,card,cash,delitbee,gloriafood,glovo,justeat,shop,uber
25/03/2024,LS7791,LS7794,"72,24","103,80","24,34","79,46","0,00","7,22",,"27,66","14,40",,,,,"22,50","14,90"
27/03/2024,LS7795,LS7814,"458,40","607,97","102,83","505,14","0,00","44,99","1,75","212,00",,,"61,27","81,28",,"91,90","58,69"
28/03/2024,LS7815,LS7834,"415,99","633,80","176,00","457,80","1,09","41,32","0,49","131,50",,,"76,30","38,70",,"119,49","92,90"
29/03/2024,LS7835,LS7855,"415,28","613,89","157,10","456,79","0,00","41,51",,"124,00","32,80",,"49,20","36,99",,"61,70","152,10"
30/03/2024,LS7856,LS7876,"428,00","574,19","102,85","471,34","0,00","42,30","1,04","143,00","36,20",,"48,95","36,99",,"105,90","100,30"
31/03/2024,LS7877,LS7900,"495,46","696,08","151,08","545,00","0,00","49,54",,"191,60",,,"113,52","49,19",,"51,30","139,39"
01/04/2024,LS7901,LS7913,"213,93","360,79","125,50","235,29","0,00","21,36",,,"2,80",,"32,50","89,39",,,"110,60"
03/04/2024,LS7914,LS7928,"318,16","492,29","141,70","350,59","0,00","31,22","1,21","89,20","58,90",,"72,30","40,89",,"11,90","77,40"
04/04/2024,LI36,LS7943,"485,08","809,10","275,52","533,58","0,00","48,50",,"404,08","26,50",,"35,50","14,90",,,"52,60"
05/04/2024,LS7944,LS7973,"666,00","881,98","149,40","732,58","0,00","66,58",,"183,20","150,70",,"42,40","81,29",,"62,60","212,39"
06/04/2024,LS7974,LS8000,"663,18","950,79","220,74","730,05","0,00","65,78","1,09","398,70","102,16",,"24,60","51,69",,,"152,90"
07/04/2024,LS8001,LS8026,"609,94","881,00","209,82","671,18","0,00","60,75","0,49","192,33","87,73",,"39,62","110,20",,"132,70","108,60"
10/04/2024,LS8027,LS8045,"346,70","446,84","62,64","384,20","0,00","32,06","5,44","83,80","6,50",,"21,26","38,70",,"20,40","213,54"
11/04/2024,LS8046,LS8060,"283,91","415,48","103,20","312,28","0,00","28,37",,"29,70",,,,"88,49",,"62,10","131,99"
12/04/2024,LS8061,LS8086,"610,57","823,37","151,75","671,62","0,00","61,05",,"283,41","41,77",,"81,37","146,17",,"43,20","75,70"
13/04/2024,LS8087,LS8110,"497,79","802,49","254,96","547,53","0,00","49,74",,"187,42","5,30",,"105,82","116,39",,,"132,60"
14/04/2024,LS8111,LS8136,"593,99","787,38","134,00","653,38","0,00","59,39",,"297,00","39,70",,"99,10","83,99",,,"133,59"
17/04/2024,LI37,LS8150,"281,73","459,60","149,71","309,89","2,49","28,16",,"79,00","14,40",,"85,29","12,90",,"65,69","55,10"
18/04/2024,LS8151,LS8170,"398,09","681,99","244,10","437,89","0,00","39,80",,"105,70","58,40",,"70,60","131,69",,"32,80","38,70"
19/04/2024,LI38,LS8200,"705,79","956,94","180,60","776,34","3,70","70,55",,"289,90","57,20",,"19,50","205,14",,"70,60","137,70"
20/04/2024,LS8201,LS8229,"710,66","965,00","182,80","782,20","0,00","70,57","0,97","472,40","89,20",,"33,00","68,30",,"17,20","102,10"
21/04/2024,LS8230,LS8256,"905,40","1.178,35","182,43","995,92","0,00","90,52",,"528,20","8,40",,"51,47","132,27",,"53,70","221,88"
24/04/2024,LS8257,LS8268,"195,45","318,69","103,70","214,99","0,00","19,54",,"19,40","3,00",,"57,50","47,69",,,"87,40"
25/04/2024,LI39,LS8290,"504,43","776,69","221,83","554,86","0,00","50,43",,"239,70",,,"38,07","126,39",,,"150,70"
26/04/2024,LS8291,LS8325,"739,82","1.031,27","217,23","814,04","1,10","73,70","0,52","200,40","90,80",,"42,87","133,48",,"89,00","258,59"
27/04/2024,LS8326,LS8357,"674,16","1.005,17","263,13","742,04","0,00","66,91","0,97","251,70","64,20",,"121,17","63,69",,,"241,28"
28/04/2024,LS8358,LS8377,"394,73","584,89","150,70","434,19","0,00","39,46",,"52,80","73,70",,"35,20","40,89",,"28,60","203,00"
01/05/2024,LS8378,LS8393,"341,69","505,49","129,64","375,85","0,00","34,16",,"133,60",,,"50,86","94,09",,,"97,30"
02/05/2024,LS8394,LS8406,"284,27","386,68","74,00","312,68","0,00","28,41",,"103,60","26,10",,"52,50","57,98",,,"72,50"
03/05/2024,LS8407,LS8415,"182,14","231,40","31,06","200,34","0,00","18,20",,"90,74",,,"16,90","12,90",,,"79,80"
04/05/2024,LS8416,LS8428,"420,33","572,09","109,50","462,59","0,00","41,77","0,49","260,80",,,"64,00","35,99",,,"101,80"
05/05/2024,LS8429,LS8449,"576,00","781,29","147,70","633,59","0,00","57,59",,"348,10","22,50",,"36,50","51,99",,,"174,50"
06/05/2024,LS8450,LS8450,"17,73","29,30","9,80","19,50","0,00","1,77",,,,,"19,50",,,,
08/05/2024,LS8451,LS8465,"327,82","492,40","131,28","361,12","2,60","32,33","0,97","100,40","67,60",,"52,72",,,"53,40","89,60"
09/05/2024,LS8466,LS8481,"280,48","428,08","118,90","309,18","0,30","27,43","1,27","91,40","78,90",,,"63,18",,,"76,00"
10/05/2024,LS8482,LS8507,"558,05","808,39","194,30","614,09","0,00","55,61","0,43","268,20","2,50",,"104,90","59,70",,,"178,79"
